#{"t_start": 1589988983.6938946, "env_id": "HalfCheetah-v2"}
r,l,t
-302.957816,1000,3.307752
-114.674721,1000,3.648995
-300.758906,1000,3.992063
-229.661164,1000,4.334445
-251.856449,1000,4.675768
-183.343251,1000,5.016302
-349.368967,1000,5.356893
-356.37203,1000,5.698635
-276.090124,1000,6.039752
-197.930487,1000,6.382193
-250.630924,1000,17.666176
-285.649764,1000,26.184386
-366.806593,1000,34.621238
-231.019341,1000,43.964039
-228.965166,1000,53.709347
-244.850988,1000,64.449257
-189.264018,1000,74.614049
-273.088063,1000,85.213278
-316.834396,1000,94.875262
-207.296113,1000,105.704578
-229.260853,1000,119.728221
-198.435784,1000,130.992991
-644.228967,1000,141.028409
-343.716782,1000,151.318302
-302.56271,1000,161.566334
-186.998614,1000,173.143631
228.583428,1000,185.439159
-74.194892,1000,196.261645
-9.390703,1000,206.500353
185.435374,1000,216.561041
1.710914,1000,228.563637
331.472448,1000,239.201361
483.374979,1000,249.466906
463.984573,1000,259.698452
664.88557,1000,271.603848
784.036892,1000,282.584893
876.965315,1000,293.296714
762.180381,1000,305.548307
1016.291482,1000,315.917296
1324.718311,1000,327.637352
775.017973,1000,340.971239
43.571493,1000,352.848104
785.533044,1000,363.741368
637.132545,1000,374.632296
-92.291748,1000,386.992934
1465.37282,1000,399.21526
1449.380727,1000,410.742699
1671.7404,1000,422.539053
1817.560791,1000,433.441323
1604.713291,1000,446.567935
681.97903,1000,460.767545
662.636227,1000,471.390917
2080.155961,1000,481.271508
1952.810445,1000,491.032106
2141.743642,1000,501.228909
2323.111355,1000,512.537069
2313.737624,1000,523.87353
2434.697008,1000,533.990859
2447.532166,1000,545.296335
115.27842,1000,555.599306
2853.845749,1000,567.536426
2765.760699,1000,579.327933
2942.505213,1000,591.463302
468.846548,1000,601.410922
2853.849332,1000,611.317214
3146.156736,1000,622.029248
3107.456664,1000,634.605458
2877.320685,1000,646.315405
3136.489898,1000,656.799734
3139.612692,1000,667.643008
3255.331186,1000,680.147571
3201.748528,1000,690.594464
3088.541048,1000,701.519402
3363.698086,1000,712.025854
3099.401145,1000,722.727844
3371.926607,1000,733.476857
3239.18163,1000,743.965203
3181.09625,1000,754.220855
3347.445638,1000,766.057117
3485.478818,1000,776.968211
3498.092807,1000,789.230959
3643.623889,1000,798.955271
3577.180384,1000,808.533663
3649.336329,1000,818.252478
3597.168571,1000,828.380263
3748.1567,1000,838.755441
3408.083902,1000,848.740231
3767.684522,1000,859.457427
3592.474168,1000,869.833583
3736.734694,1000,879.816468
3652.045065,1000,892.030097
3828.333339,1000,904.209304
3669.83439,1000,916.390309
3604.856217,1000,927.094165
3762.88625,1000,937.275025
3698.566685,1000,947.851031
3672.163329,1000,957.865578
3951.614006,1000,969.160582
3776.776041,1000,981.380892
3994.964472,1000,993.039189
3863.099335,1000,1005.289875
4048.607432,1000,1016.019176
3935.949822,1000,1026.391302
3951.767462,1000,1038.097747
3947.078037,1000,1050.452519
3962.440024,1000,1062.785057
4006.720313,1000,1074.427787
4084.29882,1000,1084.634161
4024.021888,1000,1096.771029
3983.303145,1000,1108.029841
4126.666802,1000,1119.449815
4242.838696,1000,1129.288854
4098.514175,1000,1139.77037
4080.763948,1000,1149.700171
4111.83265,1000,1159.943874
4019.054283,1000,1170.496145
4220.657784,1000,1180.926119
4067.171124,1000,1191.149567
4193.727339,1000,1200.857721
4116.830271,1000,1210.706365
4230.334762,1000,1222.084455
4058.266902,1000,1231.635018
4138.386012,1000,1243.291947
3966.063155,1000,1255.839446
4115.926747,1000,1266.844694
4110.073949,1000,1278.069162
4140.832076,1000,1287.927723
4235.475049,1000,1297.477279
1453.778312,1000,1307.802036
4099.39722,1000,1318.231299
4072.986193,1000,1330.083503
4216.018729,1000,1341.083582
4140.954475,1000,1351.989668
4360.964379,1000,1364.374527
4112.877665,1000,1375.38539
3916.246445,1000,1385.895827
4075.655475,1000,1396.407355
4460.869501,1000,1407.072038
4118.626206,1000,1418.226582
4356.833977,1000,1429.575208
4232.467429,1000,1441.972587
4353.731985,1000,1452.794404
4341.047928,1000,1463.042843
4147.471615,1000,1474.056843
4342.768673,1000,1484.351351
4243.198755,1000,1495.742186
4322.755071,1000,1505.816194
4473.628072,1000,1516.103805
4324.226694,1000,1526.459939
4334.194253,1000,1537.087275
4350.496413,1000,1549.885975
4417.821964,1000,1561.145272
4502.028795,1000,1571.574988
4107.358426,1000,1582.109144
4270.546572,1000,1592.661747
4388.534534,1000,1603.589765
4451.39049,1000,1613.514091
4310.488308,1000,1623.25316
4387.960717,1000,1633.824205
4374.438134,1000,1643.597464
4308.467136,1000,1655.386412
4337.568407,1000,1665.548525
4461.471007,1000,1677.362015
4349.708668,1000,1687.856804
4353.248529,1000,1697.984537
4234.814916,1000,1708.564436
4417.402343,1000,1718.914153
4419.937593,1000,1728.843406
4519.918174,1000,1738.684669
4153.529657,1000,1749.790725
4397.966108,1000,1764.126958
4420.754335,1000,1774.293007
4515.203449,1000,1784.425457
4528.251248,1000,1794.782665
4267.003619,1000,1805.736288
4300.17761,1000,1817.873069
4317.86644,1000,1828.588354
4648.876835,1000,1839.562127
4399.171288,1000,1853.227773
4455.82193,1000,1865.588588
4464.1436,1000,1877.158534
4404.615109,1000,1886.675945
4395.297585,1000,1896.184031
4595.370508,1000,1906.542175
4628.951163,1000,1916.179907
4478.534254,1000,1926.002256
4361.223886,1000,1935.622714
4263.9877,1000,1945.224179
4416.906838,1000,1954.849394
4266.681745,1000,1964.419841
4528.092112,1000,1975.704671
4672.04293,1000,1985.311632
4420.077777,1000,1994.898917
4194.26425,1000,2004.571728
4388.212777,1000,2014.142053
4569.673278,1000,2023.732702
4371.797195,1000,2033.319746
4376.602808,1000,2042.925691
4429.12643,1000,2052.780005
4499.799379,1000,2062.498708
4510.47405,1000,2074.005433
4458.426403,1000,2083.662038
4275.912871,1000,2093.364213
4490.639457,1000,2102.984357
4318.785599,1000,2114.191509
4563.845409,1000,2123.638887
4368.091871,1000,2133.280656
4481.4024,1000,2143.063807
4427.156954,1000,2152.671577
4498.936594,1000,2162.366684
4535.878506,1000,2173.708362
4441.54478,1000,2184.300377
4631.56664,1000,2194.08829
4577.370061,1000,2204.208859
4699.428177,1000,2214.710068
4728.404821,1000,2224.533249
4499.317739,1000,2234.160197
4517.521128,1000,2243.79351
4580.798142,1000,2255.852557
4685.459607,1000,2266.340379
4850.017775,1000,2278.040279
4508.382269,1000,2287.734292
4484.401641,1000,2297.291508
4469.410331,1000,2306.965596
4461.571151,1000,2316.522512
4865.721097,1000,2326.067461
4552.041124,1000,2335.671095
4657.197158,1000,2345.251124
4615.738591,1000,2354.87462
4591.759665,1000,2364.445848
4680.920443,1000,2376.132315
4637.435979,1000,2385.671133
4447.419366,1000,2395.35972
4652.804385,1000,2404.977959
4627.706859,1000,2414.513598
4538.571434,1000,2424.199344
4666.229364,1000,2433.976031
4710.155451,1000,2443.714567
4755.860162,1000,2453.431306
4610.274804,1000,2463.069324
4906.408709,1000,2474.453115
